district,school,source_address
Malitbog District,122209 Lambonao ES,"LAMBONAO,MALITBOG, SOUTHERN LEYTE"
Malitbog District,122210 Malitbog CS,"CABUL-ANONAN,MALITBOG SO. LEYTE"
Malitbog District,122211 Maningning ES,"MANINGNING, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122212 San Jose ES,"SAN JOSE, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122213 San Vicente ES,"SAN VICENTE, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122214 Sangahon ES,"SANGAHON,MALITBOG SOUTHERN LEYTE"
Malitbog District,122215 Sta. Cruz ES,"MAUJO, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122216 Tigbawan ES,"TIGBAWAN 2, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122217 Timba ES,"TIMBA, MALITBOG SOUTHERN LEYTE"
Malitbog District,303448 Concepcion NHS,"CONCEPCION, MALITBOG, SOUTHERN LEYTE"
Malitbog District,303488 Sta. Cruz NHS,"MAUJO, MALITBOG, SOUTHERN LEYTE"
Padre Burgos District,122218 Bunga ES,"BUNGA, PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,122219 Dinahugan PS,"DINAHUGAN, PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,122220 Laca PS,"LACA, PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,122222 Lungsodaan ES,"LUGSODAAN, PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,122224 Padre Burgos CS,"POBLACION, PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,122227 San Juan ES,"SAN JUAN, PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,122228 Santo Rosario ES,"STO. ROSARIO, PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,122229 Tangkaan ES,"TANGKAAN,PADRE BURGOS, SOUTHERN LEYTE"
Padre Burgos District,192002 Cantutang ES,"Cantutang, Padre Burgos, Southern Leyte"
Pintuyan District,122232 Buenavista ES,"Buenavista,Pintuyan,Soutern leyte"
Pintuyan District,122233 Bulawan PS,"BULAWAN, PINTUYAN, SOUTHERN LEYTE"
Pintuyan District,122234 Cogon ES,"COGON,PINTUYAN, SOUTHERN LEYTE"
Pintuyan District,122237 Manglit ES,"MANGLIT, PINTUYAN, SOUTHERN LEYTE"
Pintuyan District,122238 Nueva Estrella ES,"NUEVA ESTRELLA NORTE,PINTUYAN,SOUTHERN LEYTE"
Pintuyan District,122239 Pintuyan CS,"POBLACION IBABAO, PINTUYAN, SOUTHERN LEYTE"
Pintuyan District,122241 Punod PS,"PUNOD, PINTUYAN, SOUTHERN LEYTE"
Pintuyan District,122245 Son-Ok ES,"SON-OK II, PINTUYAN, SOUTHERN LEYTE"
Pintuyan District,192019 Catbawan PS,"Catbawan, Pintuyan Southern Leyte"
Pintuyan District,192020 Dan-an PS,"DAN-AN,PINTUYAN,SOUTHERN LEYTE"
Pintuyan District,303476 Pintuyan NHS,"P.D. EQUIPILAG, PINTUYAN, SOUTHERN LEYTE"
Pintuyan District,303477 Pintuyan NVHS,"San roque, pintuyan, so. Leyte"
San Francisco District,122089 Bongawisan ES,"BONGAWISAN, SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,122090 Bongbong ES,"BONGBONG, SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,122098 Habay ES,"HABAY,SAN FRANCISCO,SOUTHERN LEYTE"
San Francisco District,122104 Marayag ES,"MARAYAG, SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,122106 Napantao ES,"NAPANTAO, SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,122108 Pinamudlan ES,"PINAMUDLAN , SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,122111 San Francisco CS,"SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,122114 Sta. Paz ES,"PASANON, SAN FRANCISCO,  SOUTHERN LEYTE"
San Francisco District,122115 Sudmon ES,"SUDMON, SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,122117 Tuno ES,"TUNO, SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,192021 Anislagon PS,"ANISLAGON, SSAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,303470 Marayag NHS,"MARAYAG, SAN FRANCISCO, SOUTHERN LEYTE"
San Francisco District,303489 Sta. Paz NHS,"PASANON, SAN FRANCISCO, SOUTHERN LEYTE"
San Juan District,122246 Agay-ay ES,"AGAY-AY, SAN JUAN, SOUTHERN LEYTE"
San Juan District,122247 Basak ES,"BASAK, SAN JUAN, SO. LEYTE"
San Juan District,122248 Bobon ES,"BOBON, SAN JUAN, SO. LEYTE"
San Juan District,122249 Dayanog ES,"DAYANOG, SAN JUAN, SOUTHERN LEYTE"
San Juan District,122250 Garsavic ES,"SAN VICENTE, SAN JUAN, SOUTHERN LEYTE"
San Juan District,122251 Pong-Oy ES,"Pong-oy, San Juan, Southern Leyte"
San Juan District,122252 San Juan CES w/ SPED CENTER,"STO. NINO, SAN JUAN, SOUTHERN LEYTE"
San Juan District,122253 Somoje ES,"SOMOJE, SAN JUAN , SOUTHERN LEYTE"
San Juan District,122254 Sta. Filomena ES,"STA. FILOMENA, SAN JUAN, SO. LEYTE"
San Juan District,122255 Sua ES,"SUA, SAN JUAN, SOUTHERN LEYTE"
San Juan District,122256 Timba ES,"TIMBA, SAN JUAN, SOUTHERN LEYTE"
San Juan District,303481 San Juan NHS,"SAN JOSE, SAN JUAN, SOUTHERN LEYTE"
Silago District,122052 Awayon ES,"MERCEDES, SILAGO, SOUTHERN LEYTE"
Silago District,122053 Balagawan ES,"BALAGAWAN, SILAGO SOUTHERN LEYTE"
Silago District,122054 Hingatungan ES,"HINGATUNGAN, SILAGO, SOUTHERN LEYTE"
Silago District,122055 Katipunan ES,"KATIPUNAN, SILAGO, SOUTHERN LEYTE"
Silago District,122056 Lagoma ES,"LAGUMA, SILAGO, SOUTHERN LEYTE"
Silago District,122057 Salvacion ES,"SALVACION, SILAGO, SOUTHERN LEYTE"
Silago District,122058 Sap-ang ES,"SAP-ANG, SILAGO, SOUTHERN LEYTE"
Silago District,122059 Silago CS,"Balagon St., Silago, Southern Leyte"
Silago District,122060 Sudmon ES,"SUDMON, SILAGO, SOUTHERN LEYTE"
Silago District,122061 Tubod ES,"TUBOD, SILAGO, SOUTHERN LEYTE"
Silago District,192015 Imelda PS,"IMELDA,SILAGO, SOUTHERN LEYTE"
Silago District,192016 Puntana PS,"Puntana, Silago, Southern Leyte"
Silago District,192024 Tuba-on ES,"PUROK 2, TUBA-ON, SILAGO, SOUTHERN LEYTE"
Silago District,192028 Catmon ES,"CATMON, SILAGO, SOUTHERN LEYTE"
Silago District,303461 Hingatungan NHS,"HINGATUNGAN, SILAGO, SOUTHERN LEYTE"
Silago District,303486 Silago NVHS,"Pob. Dist. 2, Silago, So. Leyte"
Silago District,313408 Katipunan NHS,"KATIPUNAN, SILAGO, SOUTHERN LEYTE"
Sogod District,122257 Benit PS,"BENIT,SOGOD SO. LEYTE"
Sogod District,122258 Buac ES,"BUAC, SOGOD, SOUTHERN LEYTE"
Sogod District,122259 Cabadbaran PS,"Cabadbaran,Sogod, Southern Leyte"
Sogod District,122260 Concepcion ES,"CONCEPCION, SOGOD, SO. LEYTE"
Sogod District,122261 Consolacion ES,"CONSOLACION, SOGOD, SOUTHERN LEYTE"
Sogod District,122262 Dagsa MGES,"DAGSA, SOGOD, SO. LEYTE"
Sogod District,122263 Hindangan PS,"HINDANGAN, SOGOD, SO. LEYTE"
Sogod District,122264 Hipantag ES,HIPANTAG SOGOD SO. LEYTE
Sogod District,122265 Kahupian ES,"KAHUPIAN, SOGOD, SOUTHERN LEYTE"
Sogod District,122266 Kanangkaan ES,"KANANGKAAN,SOGOD,SOUTHERN LEYTE"
Sogod District,122267 Kauswagan ES,"BRGY. KAUSWAGAN, SOGOD, SO. LEYTE"
Sogod District,122268 Libas ES,"HINDANGAN, SOGOD, SOUTHERN LEYTE"
Sogod District,122270 Mac ES,"MAC, SOGOD, SOUTHERN LEYTE"
Sogod District,122271 Magatas ES,"MAGATAS, SOGOD, SOUTHERN LEYTE"
Sogod District,122272 Milagroso ES,"MILAGROSO, SOGOD, SOUTHERN LEYTE"
Sogod District,122273 Olisihan ES,"SAN ISIDRO, SOGOD, SOUTHERN LEYTE"
Sogod District,122274 Pancho Villa ES,"BARANGAY PANCHO VILLA, SOGOD, SOUTHERN LEYTE"
Sogod District,122275 Pandan-San Miguel ES,"SAN MIGUEL, SOGOD, SO. LEYTE"
Sogod District,122276 Rizal PS,BRGY. RIZAL SOGOD SOUTHERN LEYTE
Sogod District,122277 San Isidro ES,"SAN ISIDRO, SOGOD, SOUTHERN LEYTE"
Sogod District,122278 San Juan ES,"SAN JUAN,SOGOD, SOUTHERN LEYTE"
Sogod District,122279 San Pedro ES,"SAN PEDRO, SOGOD, SOUTHERN LEYTE"
Sogod District,122280 Sogod CS,"BRGY.ZONE1,SOGOD,SOUTHERNLEYTE"
Sogod District,122281 Sta. Maria PS,"Sta. Maria, Sogod, Southern Leyte"
Sogod District,122282 Suba ES,"SUBA, SOGOD, SOUTHERN LEYTE"
Sogod District,192027 Lum-an PS,"Lum-an, Sogod, Southern Leyte"
Sogod District,192029 San Francisco Mabuhay PS,"SAN FRANCISCO, SOGOD, SOUTHERN LEYTE"
Sogod District,192033 Mabicay ES,"MABICAY, SOGOD, SOUTHERN LEYTE"
Sogod District,303449 Consolacion NHS,"SALVACION, SOGOD, SO. LEYTE"
Sogod District,303463 Libas NHS,"Libas, Sogod, Southern Leyte"
Sogod District,303487 Sogod NHS,"ZONE 1, SOGOD, SOUTHERN LEYTE"
St. Bernard District,122283 Ayahag ES,"AYAHAG, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122284 Bolod-Bolod ES,"Bolodbolod, Saint Bernard, Southern Leyte"
St. Bernard District,122285 Carnaga MG ES,"CARNAGA, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122286 Catmon ES,"CATMON, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122288 Himbangan ES,"HIMBANGAN, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122289 Himos-Onan ES,"HIMOS-ONAN SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122291 Hindag-An ES,"HINDAG-AN,SAINT BERNARD,SOUTHERN LEYTE"
St. Bernard District,122292 Libas MGES,"LIBAS, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122293 Lipanto ES,"Lipanto, Saint Bernard, Southern Leyte"
St. Bernard District,122295 Mahayag ES,MAHAYAG SAINT BERNARD
St. Bernard District,122297 Malinao ES,"MALINAO SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122298 Maria Asuncion ES,"MARIA ASUNCION, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122299 Nueva Esperanza ES,"NUEVA ESPERANZA , SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122300 Panian ES,"PANIAN, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122301 San Isidro PS,"SAN ISIDRO, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122302 Saint Bernard CS,"MALIBAGO, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122303 Sta. Cruz MG ES,"STA.CRUZ, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122304 Sug-Angon PS,"SUG-ANGON, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122305 Tabontabon ES,TABONTABON SAINT BERNARD SOUTHERN LEYTE
St. Bernard District,122306 Tambis I ES,"TAMBIS 1, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,122307 Tambis II ES,"TAMBIS 2 SAINT BERNARD,SOUTHERN LEYTE"
St. Bernard District,192010 Magbagacay ES,"MAGBAGACAY,SAINT BERNARD SO.  LEYTE"
St. Bernard District,192014 Bantawon MG ES,"BANTAWON, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,192023 New Guinsaugon ES,"GUINSAUGON , SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,192030 Mahika ES,"PNRC VILLAGE, CATMON, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,192032 Atuyan ES,"ATUYAN,SAINT BERNARD,SOUTHERN LEYTE"
St. Bernard District,303460 Himbangan NHS,"HIMBANGAN, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,303490 Tambis NHS,"TAMBIS I, SAINT BERNARD, SOUTHERN LEYTE"
St. Bernard District,313407 New Guinsaugon NHS,"GUINSAUGON, ST. BERNARD SO. LEYTE"
Tomas Oppus District,122309 Cabascan ES,"CABASCAN, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,122310 Camansi ES,"CAMANSI, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,122311 Cambite ES,"CAMBITE, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,122312 Canlupao ES,"Canlupao, Tomas Oppus, Southern Leyte"
Tomas Oppus District,122313 Carnaga ES,"Carnaga, Tomas Oppus, Southern Leyte"
Tomas Oppus District,122314 Cawayan ES,"Poruk Rose A, Brgy. Cawayan, Tomas Oppus, Southern Leyte"
Tomas Oppus District,122315 Hinagtican PS,"HINAGTICAN, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,122316 Hinapo ES,"HINAPO,TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,122317 Hugpa ES,"HUGPA, TOMAS OPPUS, SSOUTHERN LEYTE"
Tomas Oppus District,122318 Maanyag ES,"MAANYAG, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,122319 Maslog ES,"MASLOG TOMAS OPPUS,SOUTHERN LEYTE"
Tomas Oppus District,122320 Rizal ES,"RIZAL,TOMAS OPPUS,SOUTHERN LEYTE"
Tomas Oppus District,122321 San Isidro ES,"SAN ISIDRO,  TOMAS OPPUS,  SOUTHERN LEYTE"
Tomas Oppus District,122322 Tinago ES,"TINAGO,TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,122323 Tomas Oppus CS,"BOGO, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,192007 San Antonio ES,"SAN ANTONIO,tOMAS oPPUS,sOUTHERN lEYTE"
Tomas Oppus District,192017 Mapgap ES,"BRGY MAPGAP, TOMAS OPPUS SOUTHERN LEYTE"
Tomas Oppus District,303453 DAFENHS,"BOGO, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,303479 Rizal NHS,"RIZAL, TOMAS OPPUS, SOUTHERN LEYTE"
Tomas Oppus District,303480 San Isidro NHS,"Lo-oc, Tomas Oppus, Southern Leyte"
